Место,Дата,Номер,Продукт,Категория,Цена,Количество
Тупичок,2019-12-31,18611513,Бананы,Вкусняшка,7000,3
Тупичок,2019-12-31,18611513,Бананы,Вкусняшка,7000,2
Тупичок,2019-12-31,18611513,Молочный шоколад,Вкусняшка,6900,2
Тупичок,2019-12-31,18611513,Яйца,Еда,5950,1
Трамвай,2019-12-31,538321286,Яйца,Еда,5950,3
Трамвай,2019-12-31,538321286,Яблоки,Еда,6550,2
Трамвай,2019-12-31,538321286,Черешня,Вкусняшки,15000,2
Диски,2019-12-31,343924169,Яблоки,Еда,6550,1
Диски,2019-12-31,343924169,Молоко,Еда,6700,2
Диски,2019-12-31,343924169,Мусорные пакеты,Дом,9050,3
Диски,2019-12-31,343924169,Хлеб,Еда,7500,2
Диски,2019-12-31,343924169,Чернила,Работа,2200,3
Диски,2019-12-31,343924169,Бумага туалетная,Дом,7000,3
Диски,2019-12-31,343924169,Яблоки,Еда,6550,3
Тупичок,2020-01-01,681431449,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-01,681431449,Бананы,Вкусняшка,7000,3
Тупичок,2020-01-01,681431449,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-01,681431449,Яблоки,Еда,6550,3
Тупичок,2020-01-01,681431449,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-01,681431449,Бананы,Вкусняшка,7000,2
Тупичок,2020-01-02,514023302,Бананы,Вкусняшка,7000,2
Тупичок,2020-01-02,514023302,Бумага туалетная,Дом,7000,3
Тупичок,2020-01-02,514023302,Черешня,Вкусняшки,15000,1
Тупичок,2020-01-02,514023302,Бананы,Вкусняшка,7000,3
Тупичок,2020-01-02,514023302,Гвозди,Дом,5000,1
Тупичок,2020-01-02,514023302,Яблоки,Еда,6550,3
Тупичок,2020-01-02,514023302,Яблоки,Еда,6550,2
Тупичок,2020-01-02,514023302,Сосиски молочные,Еда,20000,2
Тупичок,2020-01-04,877209364,Хлеб,Еда,7500,2
Тупичок,2020-01-04,877209364,Бумага туалетная,Дом,7000,3
Мячик,2020-01-04,382111130,Молочный шоколад,Вкусняшка,6900,1
Мячик,2020-01-04,382111130,Бананы,Вкусняшка,7000,3
Мячик,2020-01-04,382111130,Черешня,Вкусняшки,15000,3
Мячик,2020-01-04,382111130,Бумага,Работа,7750,3
Мячик,2020-01-04,382111130,Хлеб,Еда,7500,3
Мячик,2020-01-04,382111130,Мусорные пакеты,Дом,9050,1
Мячик,2020-01-04,382111130,Мусорные пакеты,Дом,9050,2
Мячик,2020-01-04,382111130,Бумага туалетная,Дом,7000,1
Тупичок,2020-01-05,96531574,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-05,96531574,Сосиски молочные,Еда,20000,1
Тупичок,2020-01-05,96531574,Бумага,Работа,7750,3
Тупичок,2020-01-05,96531574,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-05,96531574,Молоко,Еда,6700,2
Тупичок,2020-01-05,96531574,Яйца,Еда,5950,1
Тупичок,2020-01-05,96531574,Черешня,Вкусняшки,15000,3
Тупичок,2020-01-05,96531574,Гвозди,Дом,5000,3
Тупичок,2020-01-05,96531574,Бумага,Работа,7750,1
Четвёрочка,2020-01-05,558233811,Яйца,Еда,5950,3
Четвёрочка,2020-01-05,558233811,Молочный шоколад,Вкусняшка,6900,2
Четвёрочка,2020-01-05,558233811,Молоко,Еда,6700,2
Четвёрочка,2020-01-05,558233811,Сосиски молочные,Еда,20000,2
Четвёрочка,2020-01-05,558233811,Гвозди,Дом,5000,1
Четвёрочка,2020-01-05,558233811,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2020-01-05,558233811,Чернила,Работа,2200,1
Четвёрочка,2020-01-05,558233811,Яблоки,Еда,6550,2
Четвёрочка,2020-01-05,558233811,Чернила,Работа,2200,2
Четвёрочка,2020-01-05,558233811,Бананы,Вкусняшка,7000,3
Трамвай,2020-01-06,99434983,Бананы,Вкусняшка,7000,1
Трамвай,2020-01-06,99434983,Гвозди,Дом,5000,1
Трамвай,2020-01-06,99434983,Бумага,Работа,7750,2
Трамвай,2020-01-06,99434983,Гвозди,Дом,5000,2
Трамвай,2020-01-06,99434983,Яйца,Еда,5950,1
Трамвай,2020-01-06,99434983,Чернила,Работа,2200,1
Трамвай,2020-01-06,99434983,Бумага,Работа,7750,3
Трамвай,2020-01-07,662176778,Яблоки,Еда,6550,3
Трамвай,2020-01-07,662176778,Бумага туалетная,Дом,7000,2
Трамвай,2020-01-07,662176778,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-07,671622547,Молоко,Еда,6700,2
Тупичок,2020-01-07,671622547,Бумага,Работа,7750,1
Тупичок,2020-01-07,671622547,Молочный шоколад,Вкусняшка,6900,3
Тупичок,2020-01-07,671622547,Хлеб,Еда,7500,2
Тупичок,2020-01-07,671622547,Молочный шоколад,Вкусняшка,6900,2
Тупичок,2020-01-07,671622547,Бананы,Вкусняшка,7000,3
Тупичок,2020-01-07,671622547,Яйца,Еда,5950,1
Тупичок,2020-01-07,671622547,Яйца,Еда,5950,2
Тупичок,2020-01-08,176770407,Мусорные пакеты,Дом,9050,1
Тупичок,2020-01-08,176770407,Сосиски молочные,Еда,20000,1
Тупичок,2020-01-08,176770407,Бананы,Вкусняшка,7000,1
Тупичок,2020-01-08,176770407,Гвозди,Дом,5000,3
Тупичок,2020-01-08,176770407,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-08,176770407,Хлеб,Еда,7500,1
Тупичок,2020-01-08,176770407,Хлеб,Еда,7500,3
Диски,2020-01-09,684373258,Черешня,Вкусняшки,15000,1
Диски,2020-01-09,684373258,Молочный шоколад,Вкусняшка,6900,3
Диски,2020-01-09,684373258,Молоко,Еда,6700,3
Диски,2020-01-09,684373258,Бумага туалетная,Дом,7000,3
Диски,2020-01-09,684373258,Яблоки,Еда,6550,2
Трамвай,2020-01-09,526554983,Яблоки,Еда,6550,2
Трамвай,2020-01-09,526554983,Чернила,Работа,2200,3
Трамвай,2020-01-09,526554983,Яйца,Еда,5950,1
Трамвай,2020-01-09,526554983,Бананы,Вкусняшка,7000,1
Трамвай,2020-01-09,526554983,Яблоки,Еда,6550,3
Трамвай,2020-01-09,526554983,Черешня,Вкусняшки,15000,3
Диски,2020-01-09,363415718,Молочный шоколад,Вкусняшка,6900,3
Диски,2020-01-09,363415718,Бумага,Работа,7750,1
Диски,2020-01-09,363415718,Мусорные пакеты,Дом,9050,2
Диски,2020-01-09,363415718,Мусорные пакеты,Дом,9050,3
Диски,2020-01-09,363415718,Бумага туалетная,Дом,7000,1
Диски,2020-01-09,363415718,Бананы,Вкусняшка,7000,2
Диски,2020-01-10,755284162,Сосиски молочные,Еда,20000,3
Диски,2020-01-10,755284162,Черешня,Вкусняшки,15000,1
Диски,2020-01-10,755284162,Яблоки,Еда,6550,3
Диски,2020-01-10,755284162,Черешня,Вкусняшки,15000,3
Диски,2020-01-10,755284162,Яблоки,Еда,6550,2
Диски,2020-01-11,651343089,Яблоки,Еда,6550,2
Диски,2020-01-11,651343089,Сосиски молочные,Еда,20000,3
Четвёрочка,2020-01-12,893664927,Яйца,Еда,5950,1
Четвёрочка,2020-01-12,893664927,Хлеб,Еда,7500,2
Четвёрочка,2020-01-12,893664927,Мусорные пакеты,Дом,9050,1
Диски,2020-01-14,481602492,Молочный шоколад,Вкусняшка,6900,1
Диски,2020-01-14,481602492,Яйца,Еда,5950,2
Диски,2020-01-14,481602492,Сосиски молочные,Еда,20000,2
Диски,2020-01-14,481602492,Мусорные пакеты,Дом,9050,3
Диски,2020-01-14,481602492,Мусорные пакеты,Дом,9050,3
Диски,2020-01-14,481602492,Гвозди,Дом,5000,1
Диски,2020-01-14,481602492,Яйца,Еда,5950,2
Диски,2020-01-14,481602492,Гвозди,Дом,5000,1
Мячик,2020-01-15,575451583,Молоко,Еда,6700,2
Мячик,2020-01-15,575451583,Чернила,Работа,2200,3
Мячик,2020-01-15,575451583,Бумага туалетная,Дом,7000,2
Мячик,2020-01-15,575451583,Сосиски молочные,Еда,20000,2
Мячик,2020-01-15,575451583,Чернила,Работа,2200,3
Мячик,2020-01-15,575451583,Яблоки,Еда,6550,2
Мячик,2020-01-15,108912932,Яблоки,Еда,6550,2
Мячик,2020-01-15,108912932,Черешня,Вкусняшки,15000,3
Мячик,2020-01-15,108912932,Бумага,Работа,7750,2
Мячик,2020-01-15,108912932,Молоко,Еда,6700,2
Мячик,2020-01-15,108912932,Мусорные пакеты,Дом,9050,1
Мячик,2020-01-15,108912932,Молоко,Еда,6700,1
Мячик,2020-01-15,108912932,Молочный шоколад,Вкусняшка,6900,2
Трамвай,2020-01-16,516997103,Бананы,Вкусняшка,7000,2
Трамвай,2020-01-16,516997103,Молоко,Еда,6700,2
Трамвай,2020-01-16,516997103,Чернила,Работа,2200,3
Мячик,2020-01-17,274008930,Черешня,Вкусняшки,15000,3
Мячик,2020-01-17,274008930,Молоко,Еда,6700,1
Мячик,2020-01-17,274008930,Чернила,Работа,2200,3
Мячик,2020-01-17,274008930,Мусорные пакеты,Дом,9050,3
Мячик,2020-01-17,274008930,Черешня,Вкусняшки,15000,3
Мячик,2020-01-17,274008930,Сосиски молочные,Еда,20000,3
Мячик,2020-01-17,274008930,Яйца,Еда,5950,2
Четвёрочка,2020-01-17,197236441,Яблоки,Еда,6550,2
Четвёрочка,2020-01-17,197236441,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2020-01-17,197236441,Яйца,Еда,5950,1
Четвёрочка,2020-01-17,197236441,Бумага,Работа,7750,3
Четвёрочка,2020-01-17,197236441,Яйца,Еда,5950,1
Четвёрочка,2020-01-17,197236441,Сосиски молочные,Еда,20000,3
Четвёрочка,2020-01-17,197236441,Бумага,Работа,7750,3
Четвёрочка,2020-01-17,197236441,Яблоки,Еда,6550,1
Четвёрочка,2020-01-17,197236441,Мусорные пакеты,Дом,9050,1
Тупичок,2020-01-17,566894933,Черешня,Вкусняшки,15000,1
Тупичок,2020-01-17,566894933,Яблоки,Еда,6550,2
Тупичок,2020-01-17,566894933,Хлеб,Еда,7500,2
Тупичок,2020-01-17,566894933,Бумага,Работа,7750,3
Тупичок,2020-01-17,566894933,Яблоки,Еда,6550,3
Тупичок,2020-01-17,566894933,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-17,566894933,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-17,566894933,Яблоки,Еда,6550,2
Тупичок,2020-01-17,566894933,Бумага,Работа,7750,2
Четвёрочка,2020-01-18,710692058,Бумага туалетная,Дом,7000,2
Четвёрочка,2020-01-18,710692058,Черешня,Вкусняшки,15000,2
Четвёрочка,2020-01-18,710692058,Бананы,Вкусняшка,7000,2
Четвёрочка,2020-01-18,710692058,Гвозди,Дом,5000,2
Четвёрочка,2020-01-18,710692058,Мусорные пакеты,Дом,9050,1
Четвёрочка,2020-01-18,710692058,Чернила,Работа,2200,2
Тупичок,2020-01-18,210768219,Гвозди,Дом,5000,3
Тупичок,2020-01-18,210768219,Гвозди,Дом,5000,2
Тупичок,2020-01-18,210768219,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-18,210768219,Бумага туалетная,Дом,7000,1
Тупичок,2020-01-18,210768219,Гвозди,Дом,5000,3
Тупичок,2020-01-18,210768219,Молочный шоколад,Вкусняшка,6900,2
Трамвай,2020-01-19,331420750,Яблоки,Еда,6550,1
Трамвай,2020-01-19,331420750,Чернила,Работа,2200,1
Трамвай,2020-01-19,331420750,Молоко,Еда,6700,2
Трамвай,2020-01-19,331420750,Мусорные пакеты,Дом,9050,1
Четвёрочка,2020-01-20,114397851,Яблоки,Еда,6550,1
Четвёрочка,2020-01-20,114397851,Сосиски молочные,Еда,20000,1
Четвёрочка,2020-01-20,114397851,Сосиски молочные,Еда,20000,3
Диски,2020-01-21,454334462,Хлеб,Еда,7500,2
Диски,2020-01-21,454334462,Сосиски молочные,Еда,20000,2
Диски,2020-01-21,454334462,Молоко,Еда,6700,2
Диски,2020-01-21,454334462,Молочный шоколад,Вкусняшка,6900,2
Диски,2020-01-21,454334462,Мусорные пакеты,Дом,9050,2
Диски,2020-01-21,454334462,Хлеб,Еда,7500,3
Мячик,2020-01-22,859290976,Гвозди,Дом,5000,3
Мячик,2020-01-22,859290976,Яйца,Еда,5950,1
Мячик,2020-01-22,859290976,Бананы,Вкусняшка,7000,2
Мячик,2020-01-22,859290976,Гвозди,Дом,5000,1
Мячик,2020-01-22,859290976,Молоко,Еда,6700,3
Мячик,2020-01-22,859290976,Сосиски молочные,Еда,20000,2
Мячик,2020-01-22,859290976,Гвозди,Дом,5000,2
Мячик,2020-01-22,859290976,Хлеб,Еда,7500,2
Мячик,2020-01-22,859290976,Молочный шоколад,Вкусняшка,6900,3
Мячик,2020-01-23,340795099,Сосиски молочные,Еда,20000,1
Мячик,2020-01-23,340795099,Черешня,Вкусняшки,15000,1
Мячик,2020-01-23,340795099,Мусорные пакеты,Дом,9050,2
Мячик,2020-01-23,340795099,Хлеб,Еда,7500,3
Мячик,2020-01-23,340795099,Бананы,Вкусняшка,7000,2
Мячик,2020-01-23,340795099,Мусорные пакеты,Дом,9050,1
Мячик,2020-01-23,340795099,Гвозди,Дом,5000,3
Мячик,2020-01-23,340795099,Хлеб,Еда,7500,3
Четвёрочка,2020-01-23,904618560,Бумага,Работа,7750,3
Четвёрочка,2020-01-23,904618560,Яблоки,Еда,6550,2
Четвёрочка,2020-01-23,904618560,Молоко,Еда,6700,2
Четвёрочка,2020-01-23,904618560,Мусорные пакеты,Дом,9050,2
Четвёрочка,2020-01-23,904618560,Хлеб,Еда,7500,1
Четвёрочка,2020-01-23,904618560,Яйца,Еда,5950,1
Четвёрочка,2020-01-23,904618560,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2020-01-23,904618560,Мусорные пакеты,Дом,9050,2
Четвёрочка,2020-01-23,904618560,Бумага,Работа,7750,1
Диски,2020-01-23,636984266,Гвозди,Дом,5000,1
Диски,2020-01-23,636984266,Бумага,Работа,7750,1
Диски,2020-01-24,956694513,Молочный шоколад,Вкусняшка,6900,1
Диски,2020-01-24,956694513,Бумага туалетная,Дом,7000,2
Диски,2020-01-24,956694513,Черешня,Вкусняшки,15000,2
Диски,2020-01-24,956694513,Яблоки,Еда,6550,3
Диски,2020-01-24,956694513,Гвозди,Дом,5000,2
Диски,2020-01-24,956694513,Черешня,Вкусняшки,15000,1
Диски,2020-01-24,956694513,Черешня,Вкусняшки,15000,2
Диски,2020-01-24,956694513,Яйца,Еда,5950,2
Диски,2020-01-24,956694513,Сосиски молочные,Еда,20000,1
Диски,2020-01-24,956694513,Гвозди,Дом,5000,2
Диски,2020-01-25,534306633,Молоко,Еда,6700,1
Диски,2020-01-25,534306633,Хлеб,Еда,7500,3
Диски,2020-01-25,534306633,Хлеб,Еда,7500,2
Диски,2020-01-25,534306633,Чернила,Работа,2200,2
Диски,2020-01-25,534306633,Молочный шоколад,Вкусняшка,6900,2
Диски,2020-01-25,534306633,Бумага туалетная,Дом,7000,2
Диски,2020-01-25,501649154,Яйца,Еда,5950,3
Диски,2020-01-25,501649154,Сосиски молочные,Еда,20000,2
Диски,2020-01-25,501649154,Молоко,Еда,6700,2
Диски,2020-01-25,501649154,Яйца,Еда,5950,1
Диски,2020-01-25,501649154,Бананы,Вкусняшка,7000,1
Диски,2020-01-25,501649154,Яйца,Еда,5950,1
Диски,2020-01-25,501649154,Бумага,Работа,7750,3
Диски,2020-01-25,501649154,Бумага туалетная,Дом,7000,1
Диски,2020-01-25,501649154,Бананы,Вкусняшка,7000,3
Тупичок,2020-01-25,485275092,Бумага,Работа,7750,2
Тупичок,2020-01-25,485275092,Хлеб,Еда,7500,3
Четвёрочка,2020-01-26,426900903,Яйца,Еда,5950,2
Четвёрочка,2020-01-26,426900903,Бананы,Вкусняшка,7000,1
Четвёрочка,2020-01-26,426900903,Бумага,Работа,7750,1
Четвёрочка,2020-01-26,426900903,Бумага туалетная,Дом,7000,1
Четвёрочка,2020-01-26,426900903,Яйца,Еда,5950,1
Четвёрочка,2020-01-26,426900903,Бумага туалетная,Дом,7000,2
Четвёрочка,2020-01-26,426900903,Яйца,Еда,5950,2
Четвёрочка,2020-01-26,426900903,Гвозди,Дом,5000,1
Тупичок,2020-01-26,744192075,Яблоки,Еда,6550,3
Тупичок,2020-01-26,744192075,Гвозди,Дом,5000,2
Тупичок,2020-01-26,744192075,Черешня,Вкусняшки,15000,2
Тупичок,2020-01-26,744192075,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-26,744192075,Мусорные пакеты,Дом,9050,3
Тупичок,2020-01-26,744192075,Чернила,Работа,2200,3
Тупичок,2020-01-26,744192075,Сосиски молочные,Еда,20000,3
Тупичок,2020-01-26,744192075,Яблоки,Еда,6550,1
Четвёрочка,2020-01-26,361815462,Черешня,Вкусняшки,15000,3
Четвёрочка,2020-01-26,361815462,Бумага,Работа,7750,1
Четвёрочка,2020-01-26,361815462,Гвозди,Дом,5000,2
Четвёрочка,2020-01-26,361815462,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2020-01-26,361815462,Яйца,Еда,5950,3
Четвёрочка,2020-01-26,361815462,Бумага туалетная,Дом,7000,3
Четвёрочка,2020-01-26,361815462,Хлеб,Еда,7500,3
Четвёрочка,2020-01-26,361815462,Молоко,Еда,6700,3
Тупичок,2020-01-30,285763918,Бумага туалетная,Дом,7000,3
Тупичок,2020-01-30,285763918,Бананы,Вкусняшка,7000,1
Мячик,2020-01-30,980088805,Яблоки,Еда,6550,3
Мячик,2020-01-30,980088805,Сосиски молочные,Еда,20000,1
Мячик,2020-01-30,980088805,Черешня,Вкусняшки,15000,2
Мячик,2020-01-30,980088805,Бумага туалетная,Дом,7000,1
Мячик,2020-01-30,980088805,Чернила,Работа,2200,1
Мячик,2020-01-30,980088805,Чернила,Работа,2200,1
Тупичок,2020-01-30,320089861,Молоко,Еда,6700,3
Тупичок,2020-01-30,320089861,Бананы,Вкусняшка,7000,1
Тупичок,2020-01-30,320089861,Сосиски молочные,Еда,20000,2
Диски,2020-01-31,313334010,Бумага,Работа,7750,1
Диски,2020-01-31,313334010,Сосиски молочные,Еда,20000,2
Диски,2020-01-31,313334010,Бумага туалетная,Дом,7000,1
Диски,2020-01-31,313334010,Бананы,Вкусняшка,7000,2
Диски,2020-01-31,313334010,Бумага туалетная,Дом,7000,3
Диски,2020-01-31,313334010,Бумага,Работа,7750,3
Диски,2020-01-31,313334010,Бананы,Вкусняшка,7000,3
Диски,2020-01-31,313334010,Молоко,Еда,6700,2
Диски,2020-01-31,313334010,Бумага,Работа,7750,2
Мячик,2020-02-01,319447018,Молоко,Еда,6700,2
Мячик,2020-02-01,319447018,Молочный шоколад,Вкусняшка,6900,1
Мячик,2020-02-01,319447018,Яйца,Еда,5950,2
Мячик,2020-02-01,319447018,Черешня,Вкусняшки,15000,3
Мячик,2020-02-01,319447018,Бумага туалетная,Дом,7000,3
Тупичок,2020-02-01,538133427,Бананы,Вкусняшка,7000,3
Тупичок,2020-02-01,538133427,Бумага,Работа,7750,1
Тупичок,2020-02-01,538133427,Яблоки,Еда,6550,2
Тупичок,2020-02-01,538133427,Бананы,Вкусняшка,7000,2
Тупичок,2020-02-01,538133427,Бумага,Работа,7750,3
Тупичок,2020-02-01,538133427,Бумага,Работа,7750,1
Тупичок,2020-02-01,538133427,Яйца,Еда,5950,2
Тупичок,2020-02-01,538133427,Мусорные пакеты,Дом,9050,2
Трамвай,2020-02-01,1658516,Черешня,Вкусняшки,15000,3
Трамвай,2020-02-01,1658516,Молочный шоколад,Вкусняшка,6900,2
Трамвай,2020-02-01,1658516,Чернила,Работа,2200,1
Трамвай,2020-02-01,1658516,Яйца,Еда,5950,1
Трамвай,2020-02-01,1658516,Сосиски молочные,Еда,20000,1
Трамвай,2020-02-01,1658516,Молочный шоколад,Вкусняшка,6900,2
Трамвай,2020-02-01,1658516,Яйца,Еда,5950,2
Трамвай,2020-02-01,1658516,Бананы,Вкусняшка,7000,1
Трамвай,2020-02-01,1658516,Бананы,Вкусняшка,7000,2
Трамвай,2020-02-01,1658516,Хлеб,Еда,7500,1
Четвёрочка,2020-02-01,581602690,Чернила,Работа,2200,3
Четвёрочка,2020-02-01,581602690,Бумага туалетная,Дом,7000,1
Четвёрочка,2020-02-01,581602690,Яйца,Еда,5950,3
Четвёрочка,2020-02-01,581602690,Бананы,Вкусняшка,7000,3
Четвёрочка,2020-02-01,581602690,Яйца,Еда,5950,2
Четвёрочка,2020-02-01,581602690,Хлеб,Еда,7500,2
Мячик,2020-02-02,134235802,Черешня,Вкусняшки,15000,3
Мячик,2020-02-02,134235802,Гвозди,Дом,5000,2
Мячик,2020-02-02,134235802,Молочный шоколад,Вкусняшка,6900,3
Мячик,2020-02-02,134235802,Гвозди,Дом,5000,1
Мячик,2020-02-02,134235802,Сосиски молочные,Еда,20000,1
Мячик,2020-02-02,134235802,Бананы,Вкусняшка,7000,3
Четвёрочка,2020-02-02,47533293,Хлеб,Еда,7500,2
Четвёрочка,2020-02-02,47533293,Черешня,Вкусняшки,15000,1
Четвёрочка,2020-02-02,47533293,Яблоки,Еда,6550,2
Тупичок,2020-02-02,685288491,Чернила,Работа,2200,1
Тупичок,2020-02-02,685288491,Яйца,Еда,5950,1
Тупичок,2020-02-02,685288491,Бумага,Работа,7750,2
Тупичок,2020-02-02,685288491,Мусорные пакеты,Дом,9050,2
Тупичок,2020-02-02,685288491,Яблоки,Еда,6550,2
Тупичок,2020-02-02,685288491,Хлеб,Еда,7500,3
Тупичок,2020-02-03,610229626,Чернила,Работа,2200,3
Тупичок,2020-02-03,610229626,Бумага,Работа,7750,1
Тупичок,2020-02-03,610229626,Сосиски молочные,Еда,20000,1
Тупичок,2020-02-03,610229626,Бананы,Вкусняшка,7000,2
Тупичок,2020-02-03,610229626,Мусорные пакеты,Дом,9050,2
Тупичок,2020-02-03,610229626,Бумага,Работа,7750,3
Мячик,2020-02-03,576013935,Яйца,Еда,5950,2
Мячик,2020-02-03,576013935,Черешня,Вкусняшки,15000,2
Трамвай,2020-02-05,694854860,Хлеб,Еда,7500,2
Трамвай,2020-02-05,694854860,Чернила,Работа,2200,3
Трамвай,2020-02-05,694854860,Черешня,Вкусняшки,15000,2
Трамвай,2020-02-05,694854860,Гвозди,Дом,5000,1
Трамвай,2020-02-05,694854860,Молоко,Еда,6700,2
Трамвай,2020-02-05,694854860,Яйца,Еда,5950,3
Трамвай,2020-02-05,694854860,Сосиски молочные,Еда,20000,2
Трамвай,2020-02-05,694854860,Хлеб,Еда,7500,3
Трамвай,2020-02-05,694854860,Молочный шоколад,Вкусняшка,6900,3
Трамвай,2020-02-05,694854860,Черешня,Вкусняшки,15000,2
Тупичок,2020-02-06,883112144,Молоко,Еда,6700,2
Тупичок,2020-02-06,883112144,Бумага туалетная,Дом,7000,1
Тупичок,2020-02-06,883112144,Молочный шоколад,Вкусняшка,6900,3
Тупичок,2020-02-06,883112144,Бананы,Вкусняшка,7000,2
Тупичок,2020-02-06,883112144,Бумага туалетная,Дом,7000,1
Тупичок,2020-02-06,883112144,Гвозди,Дом,5000,2
Диски,2020-02-06,801094972,Хлеб,Еда,7500,1
Диски,2020-02-06,801094972,Хлеб,Еда,7500,3
Диски,2020-02-06,801094972,Молоко,Еда,6700,1
Диски,2020-02-06,801094972,Хлеб,Еда,7500,3
Диски,2020-02-06,801094972,Яблоки,Еда,6550,3
Диски,2020-02-06,776033593,Мусорные пакеты,Дом,9050,2
Диски,2020-02-06,776033593,Чернила,Работа,2200,2
Диски,2020-02-06,776033593,Молочный шоколад,Вкусняшка,6900,2
Диски,2020-02-06,776033593,Молоко,Еда,6700,1
Диски,2020-02-06,776033593,Молоко,Еда,6700,2
Диски,2020-02-06,776033593,Яблоки,Еда,6550,1
Диски,2020-02-06,832749972,Черешня,Вкусняшки,15000,2
Диски,2020-02-06,832749972,Сосиски молочные,Еда,20000,1
Диски,2020-02-06,832749972,Сосиски молочные,Еда,20000,3
Диски,2020-02-06,832749972,Бананы,Вкусняшка,7000,3
Диски,2020-02-06,832749972,Гвозди,Дом,5000,3
Диски,2020-02-06,832749972,Бумага,Работа,7750,3
Диски,2020-02-06,832749972,Хлеб,Еда,7500,2
Диски,2020-02-07,513445439,Яблоки,Еда,6550,1
Диски,2020-02-07,513445439,Бумага,Работа,7750,1
Диски,2020-02-07,513445439,Хлеб,Еда,7500,1
Диски,2020-02-07,513445439,Бананы,Вкусняшка,7000,1
Диски,2020-02-07,513445439,Бумага туалетная,Дом,7000,1
Диски,2020-02-07,513445439,Яблоки,Еда,6550,3
Диски,2020-02-07,513445439,Бумага,Работа,7750,3
Диски,2020-02-07,513445439,Бананы,Вкусняшка,7000,2
Диски,2020-02-07,513445439,Яйца,Еда,5950,3
Четвёрочка,2020-02-07,494303363,Мусорные пакеты,Дом,9050,3
Четвёрочка,2020-02-07,494303363,Яблоки,Еда,6550,1
Четвёрочка,2020-02-07,494303363,Молочный шоколад,Вкусняшка,6900,1
Мячик,2020-02-08,192939519,Бумага туалетная,Дом,7000,1
Мячик,2020-02-08,192939519,Чернила,Работа,2200,2
Мячик,2020-02-08,192939519,Чернила,Работа,2200,2
Мячик,2020-02-08,192939519,Бананы,Вкусняшка,7000,1
Диски,2020-02-09,716677883,Молоко,Еда,6700,2
Диски,2020-02-09,716677883,Бумага,Работа,7750,2
Четвёрочка,2020-02-09,597005624,Мусорные пакеты,Дом,9050,1
Четвёрочка,2020-02-09,597005624,Яйца,Еда,5950,2
Трамвай,2020-02-09,36119636,Молоко,Еда,6700,2
Трамвай,2020-02-09,36119636,Хлеб,Еда,7500,3
Трамвай,2020-02-09,36119636,Черешня,Вкусняшки,15000,3
Трамвай,2020-02-09,36119636,Яблоки,Еда,6550,1
Трамвай,2020-02-09,36119636,Молочный шоколад,Вкусняшка,6900,1
Трамвай,2020-02-10,382169621,Хлеб,Еда,7500,3
Трамвай,2020-02-10,382169621,Черешня,Вкусняшки,15000,1
Трамвай,2020-02-10,382169621,Хлеб,Еда,7500,2
Трамвай,2020-02-10,382169621,Яйца,Еда,5950,3
Трамвай,2020-02-10,382169621,Бананы,Вкусняшка,7000,2
Трамвай,2020-02-10,382169621,Бумага,Работа,7750,3
Трамвай,2020-02-10,382169621,Бумага,Работа,7750,2
Трамвай,2020-02-10,382169621,Молоко,Еда,6700,1
Трамвай,2020-02-10,382169621,Яйца,Еда,5950,1
Трамвай,2020-02-10,382169621,Сосиски молочные,Еда,20000,1
Мячик,2020-02-11,90372265,Хлеб,Еда,7500,2
Мячик,2020-02-11,90372265,Гвозди,Дом,5000,2
Мячик,2020-02-11,90372265,Яйца,Еда,5950,1
Мячик,2020-02-11,90372265,Гвозди,Дом,5000,1
Мячик,2020-02-11,90372265,Бумага,Работа,7750,1
Мячик,2020-02-11,90372265,Сосиски молочные,Еда,20000,1
Мячик,2020-02-11,90372265,Бумага туалетная,Дом,7000,2
Мячик,2020-02-11,90372265,Молоко,Еда,6700,2
Мячик,2020-02-11,90372265,Бумага,Работа,7750,3
Трамвай,2020-02-11,315021802,Молочный шоколад,Вкусняшка,6900,1
Трамвай,2020-02-11,315021802,Гвозди,Дом,5000,1
Трамвай,2020-02-11,315021802,Молоко,Еда,6700,1
Трамвай,2020-02-11,315021802,Мусорные пакеты,Дом,9050,1
Трамвай,2020-02-11,315021802,Гвозди,Дом,5000,3
Трамвай,2020-02-11,315021802,Молоко,Еда,6700,1
Трамвай,2020-02-12,86712288,Молоко,Еда,6700,1
Трамвай,2020-02-12,86712288,Бумага,Работа,7750,3
Трамвай,2020-02-12,86712288,Бананы,Вкусняшка,7000,2
Трамвай,2020-02-12,86712288,Черешня,Вкусняшки,15000,3
